"ID","title","artist","top_genre","year","added","bpm","nrgy","dnce","dB","live","val","dur","acous","spch","pop","country"
"510","Callaita","Bad_Bunny","latin",2019,"1969-12-31",176,62,61,-5,24,24,251,60,31,92,"chile"
"511","Jingle_Bell_Rock","Bobby_Helms","adult_standards",1992,"1969-12-31",120,42,75,-8,7,81,131,64,4,92,"chile"
"512","Whine_Up","Nicky_Jam","latin",2019,"1969-12-31",105,67,82,-6,10,66,215,5,8,91,"chile"
"513","Que_Tire_Pa_Lante","Daddy_Yankee","latin",2019,"1969-12-31",94,90,66,-3,12,71,211,5,4,91,"chile"
"514","Aventura","Lunay","latin",2019,"1969-12-31",92,73,73,-3,10,88,217,22,4,90,"chile"
"515","Quizas","Rich_Music_LTD","reggaeton",2019,"1969-12-31",176,82,73,-2,23,68,216,3,15,90,"chile"
"516","Si_Te_Vas","Sech","panamanian_pop",2019,"1969-12-31",174,64,73,-4,14,55,205,9,13,90,"chile"
"517","Tutu","Camilo","colombian_pop",2019,"1969-12-31",146,83,73,-3,7,94,179,27,5,90,"chile"
"518","Yo_x_Ti,_Tu_x_Mi","ROSALiA","r&b_en_espanol",2019,"1969-12-31",92,76,78,-3,14,58,201,46,23,90,"chile"
"519","Hola_-_Remix","Dalex","latin",2019,"1969-12-31",182,67,65,-6,8,34,250,47,31,89,"chile"
"520","No_Me_Conoce_-_Remix","Jhay_Cortez","latin",2019,"1969-12-31",92,79,81,-4,9,58,309,14,7,88,"chile"
"521","DJ_No_Pare_(feat._Zion,_Dalex,_Lenny_Tavarez)_-_Remix","Justin_Quiles","latin",2019,"1969-12-31",170,71,74,-4,8,83,259,5,9,88,"chile"
"522","Otro_Trago_-_Remix","Sech","panamanian_pop",2019,"1969-12-31",176,79,73,-2,6,76,288,7,20,88,"chile"
"523","QUE_PRETENDES","J_Balvin","latin",2019,"1969-12-31",93,79,64,-4,36,94,222,3,25,88,"chile"
"524","Bellaquita_-_Remix","Dalex","latin",2019,"1969-12-31",166,72,80,-4,18,76,305,14,8,87,"chile"
"525","El_Favor_(with_Nicky_Jam_&_Sech,_feat._Farruko,_Zion_&_Lunay)","Dimelo_Flow","latin",2019,"1969-12-31",88,65,75,-3,11,48,233,11,7,85,"chile"
"526","Si_Se_Da_-_Remix","Myke_Towers","latin",2019,"1969-12-31",94,67,82,-6,13,77,332,44,30,85,"chile"
"527","Cuerpo_en_Venta","Noriel","latin",2019,"1969-12-31",92,60,70,-6,10,41,254,16,30,85,"chile"
"528","Feliz_Navidad","Jose_Feliciano","latin_pop",2001,"1969-12-31",149,86,49,-7,35,96,182,53,4,85,"chile"
"529","Verte_Ir","DJ_Luian","latin",2019,"1969-12-31",96,65,86,-4,8,55,268,39,10,85,"chile"
"530","Fantasia","Ozuna","latin",2019,"1969-12-31",180,72,70,-6,9,78,175,23,9,84,"chile"
"531","It's_Beginning_to_Look_a_Lot_like_Christmas","Michael_Buble","adult_standards",2011,"1969-12-31",93,22,33,-11,34,36,207,88,3,84,"chile"
"532","Sigues_Con_El","Dimelo_Flow","latin",2019,"1969-12-31",88,67,88,-3,7,68,227,11,11,83,"chile"
"533","105_F_Remix","KEVVO","perreo",2019,"1969-12-31",100,75,90,-7,29,74,464,37,16,83,"chile"
"534","B11_(feat._Myke_Towers)","Rvssian","latin",2019,"1969-12-31",100,72,76,-5,13,20,252,7,12,83,"chile"
"535","Perreo_en_La_Luna","Rich_Music_LTD","reggaeton",2019,"1969-12-31",174,76,71,-4,37,72,219,27,29,83,"chile"
"536","Holly_Jolly_Christmas","Michael_Buble","adult_standards",2011,"1969-12-31",151,43,61,-9,9,74,122,86,4,82,"chile"
"537","Piensan","Myke_Towers","latin",2019,"1969-12-31",172,72,68,-4,11,79,173,54,6,82,"chile"
"538","No_Te_Debi_Besar","C._Tangana","trap_espanol",2019,"1969-12-31",75,68,67,-6,18,62,183,13,32,82,"chile"
"539","Si_Supieras","Daddy_Yankee","latin",2019,"1969-12-31",184,89,69,-2,10,62,242,29,12,82,"chile"
"540","Coronao_Now","El_Alfa","dembow",2019,"1969-12-31",118,73,94,-8,18,72,218,15,25,81,"chile"
"541","Soltera_-_Remix","Lunay","latin",2019,"1969-12-31",92,78,80,-4,44,80,266,36,4,80,"chile"
"542","Imaginaste_-_Remix","Jhay_Cortez","latin",2019,"1969-12-31",90,71,85,-5,34,60,247,4,9,79,"chile"
"543","Piropo","Noriel","latin",2019,"1969-12-31",94,75,87,-6,4,77,220,12,7,78,"chile"
"544","Infeliz","Arcangel","latin",2019,"1969-12-31",176,80,71,-3,25,72,221,37,22,74,"chile"
"545","La_Cama","Lunay","latin",2019,"1969-12-31",174,90,70,-3,18,82,189,20,6,74,"chile"
"546","Mami","Paloma_Mami","latin_pop",2019,"1969-12-31",95,72,80,-6,17,51,195,15,5,73,"chile"
"547","Santa_Claus_Llego_a_La_Ciudad","Luis_Miguel","bolero",2006,"1969-12-31",170,85,52,-2,33,72,116,38,19,70,"chile"
"548","Navidad,_Navidad","Luis_Miguel","bolero",2006,"1969-12-31",173,84,52,-4,16,75,155,36,15,69,"chile"
"549","Algun_Dia_Volveras","Santaferia","cumbia_chilena",2018,"1969-12-31",94,71,65,-4,5,69,254,37,3,68,"chile"
"550","Blanca_Navidad","Luis_Miguel","bolero",2006,"1969-12-31",90,40,36,-11,7,18,212,73,3,67,"chile"
"551","Dance_Monkey","Tones_and_I","australian_pop",2019,"1969-12-31",98,59,82,-6,15,51,209,69,9,100,"spain"
"552","ROXANNE","Arizona_Zervas","pop_rap",2019,"1969-12-31",117,60,62,-6,46,46,164,5,15,99,"spain"
"553","All_I_Want_for_Christmas_Is_You","Mariah_Carey","dance_pop",1994,"1969-12-31",150,63,34,-7,7,35,241,16,4,98,"spain"
"554","RITMO_(Bad_Boys_For_Life)","The_Black_Eyed_Peas","dance_pop",2019,"1969-12-31",105,72,72,-7,24,67,222,3,7,97,"spain"
"555","Tusa","KAROL_G","latin",2019,"1969-12-31",101,72,80,-3,6,57,201,30,30,96,"spain"
"556","Santa_Tell_Me","Ariana_Grande","dance_pop",2014,"1969-12-31",192,62,53,-7,29,59,204,5,12,95,"spain"
"557","Vete","Bad_Bunny","latin",2019,"1969-12-31",92,67,89,-4,10,53,192,4,19,94,"spain"
"558","China","Anuel_AA","latin",2019,"1969-12-31",105,81,79,-4,8,61,302,8,9,94,"spain"
"559","Fantasias","Rauw_Alejandro","latin",2019,"1969-12-31",94,70,88,-4,6,79,200,14,7,93,"spain"
"560","Adicto_(with_Anuel_AA_&_Ozuna)","Tainy","pop_reggaeton",2019,"1969-12-31",80,84,73,-5,18,62,271,2,7,92,"spain"
"561","Callaita","Bad_Bunny","latin",2019,"1969-12-31",176,62,61,-5,24,24,251,60,31,92,"spain"
"562","Whine_Up","Nicky_Jam","latin",2019,"1969-12-31",105,67,82,-6,10,66,215,5,8,91,"spain"
"563","Indeciso","Reik","latin",2019,"1969-12-31",95,75,74,-5,11,90,217,18,5,90,"spain"
"564","Aventura","Lunay","latin",2019,"1969-12-31",92,73,73,-3,10,88,217,22,4,90,"spain"
"565","Yo_x_Ti,_Tu_x_Mi","ROSALiA","r&b_en_espanol",2019,"1969-12-31",92,76,78,-3,14,58,201,46,23,90,"spain"
"566","Si_Te_Vas","Sech","panamanian_pop",2019,"1969-12-31",174,64,73,-4,14,55,205,9,13,90,"spain"
"567","Quizas","Rich_Music_LTD","reggaeton",2019,"1969-12-31",176,82,73,-2,23,68,216,3,15,90,"spain"
"568","Hola_-_Remix","Dalex","latin",2019,"1969-12-31",182,67,65,-6,8,34,250,47,31,89,"spain"
"569","DJ_No_Pare_(feat._Zion,_Dalex,_Lenny_Tavarez)_-_Remix","Justin_Quiles","latin",2019,"1969-12-31",170,71,74,-4,8,83,259,5,9,88,"spain"
"570","Otro_Trago_-_Remix","Sech","panamanian_pop",2019,"1969-12-31",176,79,73,-2,6,76,288,7,20,88,"spain"
"571","No_Me_Conoce_-_Remix","Jhay_Cortez","latin",2019,"1969-12-31",92,79,81,-4,9,58,309,14,7,88,"spain"
"572","Con_Altura","ROSALiA","r&b_en_espanol",2019,"1969-12-31",98,69,88,-4,5,75,162,39,12,88,"spain"
"573","Blanco","J_Balvin","latin",2019,"1969-12-31",100,71,87,-5,9,59,146,3,13,87,"spain"
"574","Bellaquita_-_Remix","Dalex","latin",2019,"1969-12-31",166,72,80,-4,18,76,305,14,8,87,"spain"
"575","Last_Christmas","Wham!","new_wave_pop",1984,"1969-12-31",108,48,74,-12,36,95,263,19,3,85,"spain"
"576","Te_Quemaste","Manuel_Turizo","colombian_pop",2019,"1969-12-31",176,77,73,-2,29,72,199,61,13,85,"spain"
"577","Que_Calor_(feat._J_Balvin_&_El_Alfa)","Major_Lazer","dance_pop",2019,"1969-12-31",126,89,80,-4,29,46,170,4,7,85,"spain"
"578","Feliz_Navidad","Jose_Feliciano","latin_pop",2001,"1969-12-31",149,86,49,-7,35,96,182,53,4,85,"spain"
"579","Alocao_(With_Bad_Gyal)","Omar_Montes","trap_espanol",2019,"1969-12-31",178,75,67,-5,11,70,209,21,6,84,"spain"
"580","Fantasia","Ozuna","latin",2019,"1969-12-31",180,72,70,-6,9,78,175,23,9,84,"spain"
"581","It's_Beginning_to_Look_a_Lot_like_Christmas","Michael_Buble","adult_standards",2011,"1969-12-31",93,22,33,-11,34,36,207,88,3,84,"spain"
"582","Sigues_Con_El","Dimelo_Flow","latin",2019,"1969-12-31",88,67,88,-3,7,68,227,11,11,83,"spain"
"583","B11_(feat._Myke_Towers)","Rvssian","latin",2019,"1969-12-31",100,72,76,-5,13,20,252,7,12,83,"spain"
"584","Perreo_en_La_Luna","Rich_Music_LTD","reggaeton",2019,"1969-12-31",174,76,71,-4,37,72,219,27,29,83,"spain"
"585","105_F_Remix","KEVVO","perreo",2019,"1969-12-31",100,75,90,-7,29,74,464,37,16,83,"spain"
"586","Easy_-_Remix","Jhay_Cortez","latin",2019,"1969-12-31",94,75,89,-4,15,44,220,19,9,81,"spain"
"587","Hasta_Que_Salga_el_Sol","Ozuna","latin",2019,"1969-12-31",96,82,83,-5,13,60,188,2,7,81,"spain"
"588","Contando_Lunares_(feat._Cruz_Cafune)","Don_Patricio","trap_espanol",2019,"1969-12-31",106,52,86,-10,5,71,220,44,13,81,"spain"
"589","Rueda","Chimbala","dembow",2019,"1969-12-31",130,92,89,-2,5,96,211,17,9,78,"spain"
"590","La_Rubia_-_Remix_2","La_Nueva_Escuela","dembow",2019,"1969-12-31",110,72,76,-4,38,75,211,32,13,77,"spain"
"591","A_Donde_Vamos","Morat","colombian_pop",2019,"1969-12-31",149,61,63,-13,23,96,203,1,4,77,"spain"
"592","+","Aitana","latin_pop",2019,"1969-12-31",160,67,56,-4,12,68,219,11,3,76,"spain"
"593","Zorra","Bad_Gyal","rap_catalan",2019,"1969-12-31",176,65,64,-7,8,74,186,68,19,76,"spain"
"594","Prendio","Rvfv","trap_espanol",2019,"1969-12-31",125,54,83,-10,13,90,190,17,9,76,"spain"
"595","Se_iluminaba","Fred_De_Palma","italian_arena_pop",2019,"1969-12-31",124,69,79,-5,7,62,174,8,6,74,"spain"
"596","La_Cama","Lunay","latin",2019,"1969-12-31",174,90,70,-3,18,82,189,20,6,74,"spain"
"597","Si_por_mi_fuera","Beret","spanish_hip_hop",2019,"1969-12-31",150,75,70,-6,10,88,209,3,3,73,"spain"
"598","Fuera_De_Mi_Mente","Lerica","spanish_pop",2019,"1969-12-31",94,94,74,-2,5,70,181,17,10,73,"spain"
"599","Goteo","Duki","argentine_hip_hop",2019,"1969-12-31",108,78,47,-4,19,44,164,19,4,73,"spain"
"600","Prendio_-_Remix","Rvfv","trap_espanol",2019,"1969-12-31",125,76,75,-6,8,75,191,19,6,61,"spain"
"601","ROXANNE","Arizona_Zervas","pop_rap",2019,"1969-12-31",117,60,62,-6,46,46,164,5,15,99,"usa"
"602","Circles","Post_Malone","dfw_rap",2019,"1969-12-31",120,76,70,-3,9,55,215,19,4,99,"usa"
"603","All_I_Want_for_Christmas_Is_You","Mariah_Carey","dance_pop",1994,"1969-12-31",150,63,34,-7,7,35,241,16,4,98,"usa"
"604","Falling","Trevor_Daniel","alternative_r&b",2018,"1969-12-31",127,43,78,-9,9,24,159,12,4,97,"usa"
"605","Santa_Tell_Me","Ariana_Grande","dance_pop",2014,"1969-12-31",192,62,53,-7,29,59,204,5,12,95,"usa"
"606","Bandit_(with_YoungBoy_Never_Broke_Again)","Juice_WRLD","chicago_rap",2019,"1969-12-31",180,63,47,-6,13,43,189,7,34,94,"usa"
"607","Rockin'_Around_The_Christmas_Tree","Brenda_Lee","adult_standards",1964,"1969-12-31",67,47,59,-9,51,90,126,61,5,93,"usa"
"608","Jingle_Bell_Rock","Bobby_Helms","adult_standards",1992,"1969-12-31",120,42,75,-8,7,81,131,64,4,92,"usa"
"609","It's_the_Most_Wonderful_Time_of_the_Year","Andy_Williams","adult_standards",1963,"1969-12-31",202,60,24,-8,12,78,152,77,4,92,"usa"
"610","Happy_Xmas_(War_Is_Over)_-_Remastered","John_Lennon","album_rock",2010,"1969-12-31",147,61,33,-11,77,40,214,32,3,92,"usa"
"611","Mistletoe","Justin_Bieber","canadian_pop",2011,"1969-12-31",162,56,66,-9,8,85,183,50,5,92,"usa"
"612","BOP","DaBaby","nc_hip_hop",2019,"1969-12-31",127,79,77,-4,13,84,160,19,37,92,"usa"
"613","Let_It_Snow!_Let_It_Snow!_Let_It_Snow!_(with_The_B._Swanson_Quartet)","Frank_Sinatra","adult_standards",1994,"1969-12-31",142,26,65,-13,36,84,155,90,6,91,"usa"
"614","Wonderful_Christmastime_-_Edited_Version_/_Remastered_2011","Paul_McCartney","album_rock",1980,"1969-12-31",95,51,77,-9,7,77,228,32,3,91,"usa"
"615","Futsal_Shuffle_2020","Lil_Uzi_Vert","melodic_rap",2019,"1969-12-31",137,46,88,-8,23,30,199,3,16,90,"usa"
"616","The_Christmas_Song_(Merry_Christmas_To_You)","Nat_King_Cole","adult_standards",1962,"1969-12-31",79,21,32,-15,14,21,192,92,3,89,"usa"
"617","White_Christmas","Bing_Crosby","adult_standards",1942,"1969-12-31",131,16,32,-16,34,25,177,67,4,89,"usa"
"618","The_Box","Roddy_Ricch","melodic_rap",2019,"1969-12-31",117,59,90,-7,79,64,197,10,6,89,"usa"
"619","Let_It_Snow!_Let_It_Snow!_Let_It_Snow!","Dean_Martin","adult_standards",1959,"1969-12-31",134,24,45,-14,18,70,117,91,4,89,"usa"
"620","Have_Yourself_A_Merry_Little_Christmas","Sam_Smith","pop",2014,"1969-12-31",75,18,44,-9,32,34,171,96,4,89,"usa"
"621","It's_Beginning_to_Look_a_Lot_Like_Christmas_(with_Mitchell_Ayres_&_His_Orchestra)","Perry_Como","adult_standards",1999,"1969-12-31",113,28,73,-12,12,72,156,76,6,88,"usa"
"622","Underneath_the_Tree","Kelly_Clarkson","dance_pop",2013,"1969-12-31",160,81,51,-5,21,69,230,0,5,88,"usa"
"623","Christmas_(Baby_Please_Come_Home)","Mariah_Carey","dance_pop",1994,"1969-12-31",127,78,57,-7,11,70,153,2,3,88,"usa"
"624","Do_They_Know_It's_Christmas?_-_1984_Version","Band_Aid",NA,2004,"1969-12-31",115,64,60,-7,10,35,223,16,4,87,"usa"
"625","Blue_Christmas","Elvis_Presley","adult_standards",1957,"1969-12-31",95,27,47,-17,14,58,129,90,4,87,"usa"
"626","Run_Rudolph_Run_-_Single_Version","Chuck_Berry","blues_rock",1986,"1969-12-31",152,72,68,-11,8,96,166,81,9,87,"usa"
"627","Like_It's_Christmas","Jonas_Brothers","boy_band",2019,"1969-12-31",146,57,73,-6,5,61,201,2,10,87,"usa"
"628","Santa_Baby","Ariana_Grande","dance_pop",2013,"1969-12-31",96,78,75,-6,28,77,171,5,14,87,"usa"
"629","Last_Christmas","Wham!","new_wave_pop",1984,"1969-12-31",108,48,74,-12,36,95,263,19,3,85,"usa"
"630","Feliz_Navidad","Jose_Feliciano","latin_pop",2001,"1969-12-31",149,86,49,-7,35,96,182,53,4,85,"usa"
"631","Santa_Claus_Is_Coming_To_Town","The_Jackson_5","adult_standards",1970,"1969-12-31",147,76,69,-5,18,96,144,42,3,85,"usa"
"632","It's_Beginning_to_Look_a_Lot_like_Christmas","Michael_Buble","adult_standards",2011,"1969-12-31",93,22,33,-11,34,36,207,88,3,84,"usa"
"633","I_Saw_Mommy_Kissing_Santa_Claus","The_Jackson_5","adult_standards",1970,"1969-12-31",129,71,58,-8,82,61,181,26,5,84,"usa"
"634","Joy_To_The_World","Nat_King_Cole","adult_standards",1962,"1969-12-31",102,34,55,-10,11,66,85,82,3,84,"usa"
"635","Do_You_Hear_What_I_Hear?_-_Remastered_2006","Bing_Crosby","adult_standards",2006,"1969-12-31",102,25,57,-15,20,41,166,81,3,84,"usa"
"636","Carol_of_the_Bells","Mykola_Dmytrovych_Leontovych","post-romantic_era",1990,"1969-12-31",47,11,42,-23,18,80,85,99,4,84,"usa"
"637","A_Holly_Jolly_Christmas_-_Single_Version","Burl_Ives","adult_standards",1998,"1969-12-31",140,37,67,-13,10,86,133,59,3,83,"usa"
"638","Winter_Wonderland_-_Remastered_2006","Bing_Crosby","adult_standards",2006,"1969-12-31",127,23,59,-14,12,54,144,83,5,83,"usa"
"639","Little_Saint_Nick_-_1991_Remix","The_Beach_Boys","baroque_pop",1964,"1969-12-31",131,55,60,-9,5,97,119,11,3,83,"usa"
"640","Holly_Jolly_Christmas","Michael_Buble","adult_standards",2011,"1969-12-31",151,43,61,-9,9,74,122,86,4,82,"usa"
"641","Christmas_(Baby_Please_Come_Home)","Darlene_Love","adult_standards",2019,"1969-12-31",126,76,34,-7,8,36,166,39,5,82,"usa"
"642","Mele_Kalikimaka_(Merry_Christmas)","Bing_Crosby","adult_standards",1945,"1969-12-31",202,22,50,-12,28,62,175,65,9,82,"usa"
"643","Mistletoe_And_Holly_-_Remastered_1999","Frank_Sinatra","adult_standards",1957,"1969-12-31",110,10,61,-14,8,34,136,80,4,81,"usa"
"644","Baby,_It's_Cold_Outside","Dean_Martin","adult_standards",1959,"1969-12-31",130,20,47,-16,5,54,144,88,6,79,"usa"
"645","Have_Yourself_A_Merry_Little_Christmas","Judy_Garland","adult_standards",1944,"1969-12-31",181,18,16,-15,26,11,162,97,4,79,"usa"
"646","O_Tannenbaum","Vince_Guaraldi_Trio","adult_standards",1965,"1969-12-31",123,19,58,-16,13,34,309,91,4,79,"usa"
"647","Sleigh_Ride","The_Ronettes","adult_standards",2019,"1969-12-31",92,77,53,-7,32,85,181,40,3,77,"usa"
"648","Santa_Baby_(with_Henri_Rene_&_His_Orchestra)","Eartha_Kitt","adult_standards",2002,"1969-12-31",84,14,70,-12,19,49,206,90,6,76,"usa"
"649","Christmas_Time_Is_Here_-_Vocal","Vince_Guaraldi_Trio","adult_standards",1965,"1969-12-31",75,14,39,-20,10,9,166,98,3,75,"usa"
"650","This_Christmas","Donny_Hathaway","chicago_soul",1971,"1969-12-31",93,65,63,-9,25,68,231,29,4,59,"usa"
"651","Dance_Monkey","Tones_and_I","australian_pop",2019,"1969-12-31",98,59,82,-6,15,51,209,69,9,100,"france"
"652","ROXANNE","Arizona_Zervas","pop_rap",2019,"1969-12-31",117,60,62,-6,46,46,164,5,15,99,"france"
"653","Memories","Maroon_5","pop",2019,"1969-12-31",91,32,76,-7,8,57,189,84,5,99,"france"
"654","All_I_Want_for_Christmas_Is_You","Mariah_Carey","dance_pop",1994,"1969-12-31",150,63,34,-7,7,35,241,16,4,98,"france"
"655","RITMO_(Bad_Boys_For_Life)","The_Black_Eyed_Peas","dance_pop",2019,"1969-12-31",105,72,72,-7,24,67,222,3,7,97,"france"
"656","Don't_Start_Now","Dua_Lipa","dance_pop",2019,"1969-12-31",124,79,79,-5,10,68,183,1,8,97,"france"
"657","Blinding_Lights","The_Weeknd","canadian_contemporary_r&b",2019,"1969-12-31",171,80,51,-4,9,35,202,0,6,96,"france"
"658","Ride_It","Regard","pop_edm",2019,"1969-12-31",118,75,88,-4,11,88,158,18,9,95,"france"
"659","Trampoline_(with_ZAYN)","SHAED","electropop",2019,"1969-12-31",127,46,62,-6,14,50,184,56,3,92,"france"
"660","Let_It_Snow!_Let_It_Snow!_Let_It_Snow!","Dean_Martin","adult_standards",1959,"1969-12-31",134,24,45,-14,18,70,117,91,4,89,"france"
"661","Senorita","Shawn_Mendes","canadian_pop",2019,"1969-12-31",117,55,76,-6,8,75,191,4,3,89,"france"
"662","Last_Christmas","Wham!","new_wave_pop",1984,"1969-12-31",108,48,74,-12,36,95,263,19,3,85,"france"
"663","Que_Calor_(feat._J_Balvin_&_El_Alfa)","Major_Lazer","dance_pop",2019,"1969-12-31",126,89,80,-4,29,46,170,4,7,85,"france"
"664","Roses_-_Imanbek_Remix","SAINt_JHN","melodic_rap",2019,"1969-12-31",122,72,77,-5,35,90,177,2,5,85,"france"
"665","Popopop","Gambi","pop_urbaine",2019,"1969-12-31",130,65,83,-6,14,41,156,5,31,82,"france"
"666","Holly_Jolly_Christmas","Michael_Buble","adult_standards",2011,"1969-12-31",151,43,61,-9,9,74,122,86,4,82,"france"
"667","Moulaga","Heuss_L'enfoire","french_hip_hop",2019,"1969-12-31",125,70,71,-5,10,48,180,33,10,79,"france"
"668","Oui_ou_non","Angèle","belgian_pop",2019,"1969-12-31",200,57,65,-8,16,36,197,64,14,79,"france"
"669","He_oh","Gambi","pop_urbaine",2019,"1969-12-31",105,59,83,-5,20,54,178,7,15,79,"france"
"670","Ne_reviens_pas","Gradur","french_hip_hop",2019,"1969-12-31",125,78,93,-3,17,93,189,21,6,78,"france"
"671","0.4","Aya_Nakamura","basshall",2019,"1969-12-31",92,69,84,-7,13,68,175,40,21,78,"france"
"672","Woin_Woin_feat._RK","Larry","french_hip_hop",2019,"1969-12-31",130,64,90,-7,8,70,173,17,29,77,"france"
"673","Loin_de_moi","Naza","francoton",2019,"1969-12-31",97,46,89,-8,6,50,144,64,24,77,"france"
"674","Mayday_(feat._Ninho)","SCH","french_hip_hop",2019,"1969-12-31",152,60,61,-8,9,25,210,61,36,77,"france"
"675","Baiana","Bakermat","deep_euro_house",2019,"1969-12-31",122,76,50,-7,33,49,182,0,5,77,"france"
"676","La_vie_qu'on_mène","Ninho","french_hip_hop",2019,"1969-12-31",113,76,80,-4,11,46,193,69,4,76,"france"
"677","Bâtiment","Niska","french_hip_hop",2019,"1969-12-31",168,70,66,-7,7,65,211,29,14,76,"france"
"678","Un_peu_de_haine","PLK","french_hip_hop",2019,"1969-12-31",134,66,77,-7,22,42,168,44,6,76,"france"
"679","Ma_belle","Moha_La_Squale","french_hip_hop",2019,"1969-12-31",82,66,74,-6,9,47,158,76,6,76,"france"
"680","Jamais","Mister_V","french_hip_hop",2019,"1969-12-31",150,67,64,-7,11,79,192,43,9,75,"france"
"681","Dans_l'univers","Nekfeu","french_hip_hop",2019,"1969-12-31",132,42,64,-10,14,20,244,33,17,75,"france"
"682","Maman_ne_le_sait_pas_(feat._Niska)","Ninho","french_hip_hop",2019,"1969-12-31",145,88,76,-6,12,39,203,40,19,75,"france"
"683","Street","Maes","french_hip_hop",2019,"1969-12-31",148,30,66,-20,21,49,185,30,8,74,"france"
"684","Aristocrate","Heuss_L'enfoire","french_hip_hop",2019,"1969-12-31",117,61,94,-6,10,63,170,27,7,74,"france"
"685","Mechant","Niska","french_hip_hop",2019,"1969-12-31",98,80,53,-4,37,41,191,33,34,74,"france"
"686","Marie","Koba_LaD","french_hip_hop",2019,"1969-12-31",132,75,78,-6,12,68,195,12,4,74,"france"
"687","93%_[Tijuana]","GLK","francoton",2019,"1969-12-31",136,69,80,-5,18,80,223,62,6,73,"france"
"688","Distant","Maes","french_hip_hop",2019,"1969-12-31",105,73,75,-6,7,49,162,56,19,72,"france"
"689","Avant_toi","Vitaa","francoton",2019,"1969-12-31",142,40,63,-9,10,25,224,88,3,72,"france"
"690","Elle_est_bonne_sa_mère","Vegedream","francoton",2019,"1969-12-31",105,74,79,-5,34,47,197,33,6,70,"france"
"691","Complique","Dadju","francoton",2019,"1969-12-31",75,74,70,-7,16,93,215,55,5,68,"france"
"692","Ma_vie","Dadju","francoton",2019,"1969-12-31",201,50,51,-8,16,32,209,12,8,68,"france"
"693","Mortel","Koba_LaD","french_hip_hop",2019,"1969-12-31",154,69,58,-6,10,66,204,15,46,67,"france"
"694","Un_million_par_mois","Djadja_&_Dinaz","french_hip_hop",2019,"1969-12-31",135,54,76,-6,13,72,189,66,5,67,"france"
"695","Block","Larry","french_hip_hop",2019,"1969-12-31",77,74,72,-7,41,71,157,29,28,65,"france"
"696","Petit_Papa_Noël","Tino_Rossi","chanson",1998,"1969-12-31",105,31,33,-9,6,42,196,99,3,61,"france"
"697","Côte_Ouest","47ter","french_hip_hop",2019,"1969-12-31",152,59,77,-8,18,58,233,50,9,59,"france"
"698","God_Bless_(feat._Damso)","Hamza","belgian_hip_hop",2019,"1969-12-31",83,57,86,-10,6,23,162,1,12,57,"france"
"699","Reste","Maître_Gims","french_hip_hop",2019,"1969-12-31",100,54,75,-7,10,69,232,48,4,54,"france"
"700","Gasolina_(feat._Gambi)","Hamza","belgian_hip_hop",2019,"1969-12-31",130,61,95,-8,12,72,179,28,19,52,"france"
"701","Memories","Maroon_5","pop",2019,"1969-12-31",91,32,76,-7,8,57,189,84,5,99,"india"
"702","ROXANNE","Arizona_Zervas","pop_rap",2019,"1969-12-31",117,60,62,-6,46,46,164,5,15,99,"india"
"703","Circles","Post_Malone","dfw_rap",2019,"1969-12-31",120,76,70,-3,9,55,215,19,4,99,"india"
"704","Falling","Trevor_Daniel","alternative_r&b",2018,"1969-12-31",127,43,78,-9,9,24,159,12,4,97,"india"
"705","Blinding_Lights","The_Weeknd","canadian_contemporary_r&b",2019,"1969-12-31",171,80,51,-4,9,35,202,0,6,96,"india"
"706","bad_guy","Billie_Eilish","electropop",2019,"1969-12-31",135,43,70,-11,10,56,194,33,38,96,"india"
"707","hot_girl_bummer","blackbear","pop",2019,"1969-12-31",130,56,78,-7,40,68,185,13,8,96,"india"
"708","Heartless","The_Weeknd","canadian_contemporary_r&b",2019,"1969-12-31",170,75,53,-6,12,20,200,1,11,94,"india"
"709","Trampoline_(with_ZAYN)","SHAED","electropop",2019,"1969-12-31",127,46,62,-6,14,50,184,56,3,92,"india"
"710","My_Oh_My_(feat._DaBaby)","Camila_Cabello","dance_pop",2019,"1969-12-31",105,49,72,-6,9,38,171,2,3,91,"india"
"711","Senorita","Shawn_Mendes","canadian_pop",2019,"1969-12-31",117,55,76,-6,8,75,191,4,3,89,"india"
"712","Believer","Imagine_Dragons","modern_rock",2017,"1969-12-31",125,78,78,-4,8,67,204,6,13,89,"india"
"713","Sunflower_-_Spider-Man:_Into_the_Spider-Verse","Post_Malone","dfw_rap",2019,"1969-12-31",90,52,76,-4,7,93,158,53,6,88,"india"
"714","On_My_Way","Alan_Walker","electro_house",2019,"1969-12-31",170,69,51,-5,30,30,194,2,10,84,"india"
"715","Ghungroo_(From_""War"")","Arijit_Singh","desi_pop",2019,"1969-12-31",118,73,70,-6,53,86,303,7,3,75,"india"
"716","Tum_Hi_Aana_(From_""Marjaavaan"")","Payal_Dev","modern_bollywood",2019,"1969-12-31",90,40,47,-7,15,35,249,63,2,74,"india"
"717","Filhall","B_Praak","desi_pop",2019,"1969-12-31",80,66,53,-4,13,59,255,61,6,74,"india"
"718","Makhna","Tanishk_Bagchi","desi_pop",2019,"1969-12-31",125,70,70,-8,16,43,183,17,4,73,"india"
"719","Yaad_Piya_Ki_Aane_Lagi","Neha_Kakkar","desi_pop",2019,"1969-12-31",108,83,86,-4,11,69,257,38,5,72,"india"
